评论ID,评价内容,情感倾向,评价长度,长度分类
90,"二月份去的了，当时是为了过情人节。结果化妆灯带是坏的，房间有点闷，尤其是晚上泡澡的话，由于水温的缘故房间会闷一些。定房是买的套餐送了红酒和浴球之类的，送的也不期待有多好，但是红酒确实喝不下去只尝了两口。
最生气的，我和女朋友正在床上看电视，服务员直接就进来，把我俩吓了一跳。说是敲门里面没有答应就进来了，简直无语死了。我们完全没有听见有人敲门，这个价位的酒店不知道在搞什么。当时才六点半来送晚安前的银耳汤和一点零食水果，我晚饭都还没吃有什么好送的。最后走的时候除了普通的伴手礼，经理多拿了个布娃娃，拿着完全没用。
不知道怎么形容，服务 环境肯定有的，但是住的并不舒服，非旺季在乐山这个价位的酒店算贵的了，没有买到匹配的服务吧。以后不会再去。
展开更多",中性,325,长(201-500字)
91,房间很不错，之前住过一次，这是第二次来，订的下午茶套餐，结果酒店下午茶已经没有了，临时找服务员给我们准备，很失望！,中性,57,短(51-100字)
92,"设施：整体设施都很法式，在乐山应该属于最好的酒店之一了

卫生：卫生整体很好，并且打扫阿姨也贴心准备很多东西

环境：整体环境很好，闹中取静

服务：服务非常好，包括客房布置，以及离店后的咨询服务都非常到位，三亚艾迪逊麻烦你学一学！

欢迎水果:欢迎水果必须要点赞！

有幸看了酒店入夜仪式，非常震撼，传统文化需要传承，安珀酒店做的真的非常好！
展开更多",正面,177,中等(101-200字)
93,精品酒店，在乐山有这样的酒店很惊喜了。位置略差，适合租车出行的游客。退房时送了小零食和白兰花，正好挂在租的车里很香。 遗憾没有泳池。,负面,66,短(51-100字)
94,房间大，服务好，早餐菜品不多，但很精致，环境也很好。应该算是乐山现有最好的酒店了。,正面,41,极短(≤50字)
95,第一次入住安珀，酒店体验不错，房间备品达到应有的水准，前台小赵小鑫两位非常热情，有问必答，要说可以提升的点，那就是早餐确实品类有点对不起五星标准，望提升,正面,76,短(51-100字)
96,是安珀的水准，充满浪漫的艺术氛围。 长途旅行后舒适的港湾。 服务专业周到。 房间非常干净温馨。设施完备齐全好用。 床品很舒服。 停车方便，早餐丰富。 旅途中的不二之选。,正面,84,短(51-100字)
97,酒店很新，房间也很大，离高铁站也近。法式的装修风格是我比较喜欢的，有智能马桶，牙刷牙膏质感都不错，mini吧的饮品比很多酒店都走心，还赠送了水果和晚安甜点。没来及去体验下午茶和咖啡，但早餐是绝对要来大大地点个赞的，钵钵鸡、跷脚牛肉、蛋烘糕、叶儿粑、红糖糍粑、牛肉面、油茶、四种口味的鲜榨果汁和蔬果汁，集当地特色于一体，反正是我心目中的中式早餐天花板就是了。,正面,178,中等(101-200字)
98,酒店前台小郭和小赵服务专业，始终面带微笑，热情周到。工作人员整体态度友善，服务细致，我们一行三间房都休息的很好，为客人营造了宾至如归的氛围。迷你吧饮品选择丰富，且免费供应，为住宿增添了额外惊喜。早饭很精致，很好吃。整体而言，酒店服务优质，细节到位，是一次令人满意的入住体验。,正面,137,中等(101-200字)
99,"这次带家人来乐山游玩，选择了乐山安珀酒店从入住到离店的每一刻都充满惊喜！  
📍位置优越：
酒店位于乐山新城区，坐车到张公桥美食街只需19分钟，打车去 乐山大佛景区也只要18分钟，周边购物、吃饭超级方便！  
🏨房间体验：
落地窗傍晚能看到夕阳下的乐山城景。房间设计融合了现代与中式美学，床品舒适度高，迷你吧的饮品小食也很丰富。浴室配了 智能马桶和 高端洗护用品，细节满分！  
💁服务贴心：
前台小姐姐小鱼、小鑫非常热情专业，还主动帮我们升级了房型；客房服务响应速度超快，夜床服务还送了暖心的小点心。最感动的是，得知我们带孩子，还准备了儿童拖鞋和洗漱套装，亲子友好度拉满！  
🍽️餐饮推荐：
早餐种类丰富，有乐山本地特色的跷脚牛肉粉和叶儿粑。
🌟整体感受：
无论是硬件设施还是软性服务，安珀酒店都远超预期！尤其适合对品质有要求的旅行者。下次来乐山，一定会再次选择这里～
展开更多",正面,391,长(201-500字)
100,"设施：不错，浴室的花洒🚿水量很小不如翰文酒店的淋浴感觉，花洒一看就有问题。
卫生：还可以，打扫房间的美少女把抹布遗落在房间呢，这个没啥，房间的浴巾发黑，让更换了，第二次拿的还可以。
环境：环境还可以
服务：办理入住时服务态度不错，但是离店的时候前台美少女毫无笑容，我想倒杯热水，她说对面自助餐厅，你去那里接吧。服务态度确实堪忧。管家的服务还不错，但是最后问我们要好评也是绝了，好评是有感而发，并不是你要我就能给的，如果在离店的时候依然服务不错，我一定会给的，毕竟大家都不容易。1000多以服务取胜的酒店怎么可以时好时坏。
再说安排房间不检查好就给客人安排实在不妥，毕竟是乐山还1000的酒店，价格真的是要到了，房间服务还需要提高啊。
By the way,行李员的服务是真的不错，给予表扬。和离店时前台小姐姐，对比非常明显。4分是给行李房员工的。反正1000＋的就都不该这样。
展开更多",负面,393,长(201-500字)
101,"设施：非常新，非常干净
卫生：干净整洁
环境：环境好，离万达近
服务：服务态度很好，有求必应，打扫卫生及时，是乐山的顶级酒店，一定要住",正面,67,短(51-100字)
102,非常满意，安珀的服务一如既往的好，第一次是在贵阳入住安珀，这次看见乐山有，毫不犹豫再次选择，夜床服务也很赞,正面,53,短(51-100字)
103,"设施：都很新，整体设计风格有新中式的雅致，也有法式的轻盈浪漫，整个格局中规中矩，有一个小细节洗手间去卧室一点点的小高度，做了一个微斜坡，完全不会被绊倒，很用心。
卫生：干净
环境：应该不属于大酒店，感觉人气不是很多，整个公区，感觉也是小而美的状态。
服务：从一楼迎宾开始会介绍，到房间入住，整体感觉不错，入住的小蛋糕/水果，都感觉比较用心。
值得二刷的酒店。很棒
展开更多",正面,186,中等(101-200字)
104,酒店鹤洞餐厅是以红砂岩砌筑而成，特邀高级厨师👨🍳菜品相当可口。早餐很乐山，让我们足不出户能品尝钵钵鸡，蛋烘糕，甜皮鸭等特色小吃。服务方面是管家式，而且有晚安点心，各种细致体贴。,中性,88,短(51-100字)
105,"周边配套尚在完善中，但酒店内部的设计、房间物品、服务都让人眼前一亮。
大堂和前台满满的设计感，整体色调偏暗但又不失温暖，艺术氛围拉满。
房间内处处见细节，洗漱到个人卫生护理用品都是高配，给到了不少小惊喜。
对景点距离要求不高的强烈推荐此处😁😁😁",中性,122,中等(101-200字)
106,房间装修很有格调，设计简约又不失细节，色调搭配让人觉得特别舒服，住起来很放松。前台小方小娟服务热情周到，办理入住快捷，有问必答特别耐心，第一时间就感受到了暖意。酒店的酒吧氛围也超赞，灯光柔和，酒水品类丰富，晚上小坐一会儿很惬意，整体体验特别好！,正面,122,中等(101-200字)
107,真心不错的酒店，实景比携程图片好看，早餐也不错。真心建议，你们换个摄影师吧，携程的图片好丑,正面,45,极短(≤50字)
108,在乐山市区来说，是顶级的存在。从入住开始就有管家送到房间，随时需要微信呼叫即可，外卖是工作人员直接送到房间。min bar六种饮品免费，企鹅每天可以全部补充一次，开夜床服务就不说了，每晚送甜水且很好喝。以前来乐山住过高新瀚文、嘉州锦江、华邑，和这些对比不管是装修、硬件、服务各方面，明显拉开了差距。在乐山是一个小众、精致的存在，我觉得独一无二，且价格对于安珀这个品牌来说比较低。,正面,189,中等(101-200字)
109,酒店距离高铁站10分钟车程，方便安静。酒店的公共区域、房间卫生氛围好、香氛恰到好处。早餐、下午茶都很棒，健身房也很好，遇到很多来拍婚纱照或者举办婚礼的～以后来乐山都会考虑这家小众酒店啦,正面,92,短(51-100字)
110,服务，环境，早餐都很不错，公区很多都很有小心思，非常舒服，值得推荐,正面,33,极短(≤50字)
111,房间太好啦 前台小方服务很好 环境也很好 每个工作人员都十分热情 是乐山特别值得来的酒店,正面,44,极短(≤50字)
112,设施：住了那么多大大小小的酒店，第一次遇见只有新风系统没有空调的酒店，没有热风也没有冷风，30度的天气入住房间热死，冬冷夏热……体验感太差,负面,69,短(51-100字)
113,"环境：远离景区，整体比较安静，但是离网红美食有点远
设施：比较新，可以选择
服务：略显生硬，有一些问题不能解决，但是整体还行",负面,62,短(51-100字)
114,乐山这个酒店非常好，低调的奢华。法式设计让人觉得非常舒服有异国情调。值得一提的是酒店的用餐品质还不错，唯一美中不足的是老人被橄榄壳硌了牙，还好不太严重。,正面,76,短(51-100字)
115,喜欢💕下午茶好吃😋,正面,9,极短(≤50字)
